Δώρο,Company,Σημειώσεις
1 ζευγάρι ακουστικά hands free ,Mercurys Tech ,Μπότσαρη 25
Δωροεπιταγή 10€ Κρεοπωλείο ,Κρεοπωλείο Σοχός,Γραβιάς 31
1 hands free,Phone Club ,25ης Μαρτίου 61
2 falafel wraps,Falafeleria,25ης Μαρτίου 14
1 παιδικό κούρεμα ,Cheveux ,Π. Συνδίκα 50
1 τούρτα ,Τζοκόντα ,Δελφών 129
20% έκπτωση σε όλες τις υπηρεσίες ,Love Nails and More Martiou,Σόλωνος 81
Δωροεπιταγή 15€ ,Inna Queen House,Χαλκιδικής 85
1 τσουρέκι ,Oat Tree,Καρακάση 38
1 κιλό παγωτό χύμα,Fregio,Π. Συνδίκα 53 
Καθαρισμός κουβέρτας ,QuickIron,Π. Συνδίκα 26
1 hands free,Phone Club ,25ης Μαρτίου 61
Σάντουιτς + αναψυκτικό ,Τα δυο γουρουνάκια ,Καρακάση 52
50% έκπτωση στην αγορά των βιβλίων του ακαδ. έτους 2026-2027,E-Z English,Μαντινείας 57
Σαμπουάν και αφρόλουτρο,Φαρμακείο Ναταλία Καραντζέλη,Π. Συνδίκα 27
"1τμχ μπογιά για face painting, ψεύτικο μαχαίρι παιχνίδι και 1 πακέτο σερπαντίνες ","Βιβλιοπωλείο ""Στη χώρα του ποτέ""",Μακεδονίας 96
1 κόσμημα,Πολύδωρος Εργαστήριο Χρυσοχοϊας,Παπακυριαζή 9
Δωρεάν εκτίμηση ακινήτου,Re/Max Welcome Thessaloniki,Κ. Καραμανλή 6
1 μηνιαίο πακέτο 8 συνεδριών για τα πρωινά τμήματα αξίας 60€,Athletes in Actions ,Σόλωνος 92
Άρωμα επιλογής ,MyAroma ,25ης Μαρτίου 51
Δωροεπιταγή 10€ Κρεοπωλείο ,Κρεοπωλείο Σοχός,Γραβιάς 31
Smart bracelet ,Σχολική ανάμνηση ,(Έδρα: Λάρισα)
1 μήνας δωρεάν συνδρομή,Εν Σώματι Γυμναστήριο ,Συνδίκα 
2 falafel wraps,Falafeleria,25ης Μαρτίου 14
Παιδικό κούρεμα αγορίστικο,BK Hair Studio,Σόλωνος 64
Δώρο για το κατοικίδιο σας,Local Pet Shop,Θερμοπυλών 11
Δωρεάν ανάθεση για ενοικίαση ή πώληση ακινήτου (χωρίς προμήθεια),Re/Max Welcome Thessaloniki,Κ. Καραμανλή 6
1 τούρτα ,Τζοκόντα ,Δελφών 129
1 σακούλα με είδη πάρτυ ,Happy Teapot ,Αναλήψεως 16
1 εισιτήριο δύο ατόμων,Κινηματοθέατρο Κολοσσαίον,Βασ. Ολγας 150
50% έκπτωση στην αγορά των βιβλίων του ακαδ. έτους 2026-2027,E-Z English,Μαντινείας 57
Σάντουιτς + αναψυκτικό ,Τα δυο γουρουνάκια ,Καρακάση 52
1 φιάλη κρασί (για τραπέζι) ,Cafe Le Monde,Μαρίας Κάλλας 3
1 ωριαιο διαδικτυακό μάθημα μακιγιάζ ,Psimithea Mua,Νανά Γιαννοπούλου 
12 μπεζέδες,Εμμανουήλ Μπεζές ,Βασ. Όλγας 229
1 κόσμημα,Πολύδωρος Εργαστήριο Χρυσοχοϊας,Παπακυριαζή 9
Δωροεπιταγή 5€ για παραγγελίες ,Mammy's Creperie  ,25ης Μαρτίου 25
1 μηνιαίο πακέτο 8 συνεδριών για τα πρωινά τμήματα αξίας 60€ ,Athletes in Actions ,Σόλωνος 92
1 hands free,Phone Club ,25ης Μαρτίου 61 
2 falafel wraps,Falafeleria,25ης Μαρτίου 14
1 lash volume lifting & brow lamination,BartDon Studio,Σόλωνος 45
Παιδικό παιχνίδι ,Παιχνίδια Λάμπρος,Β. Όλγας 167
Δώρο σακούλες για όποια ηλεκτρική σκούπα έχετε,Atamian Boutique Electric ,25ης Μαρτίου 50
6 macarons,Oat Tree,Καρακάση 38
Club σάντουιτς ,Τα δυο γουρουνάκια ,Καρακάση 52
12 μπεζέδες,Εμμανουήλ Μπεζές ,Βας. Όλγας 229
Δωροεπιταγή 20€,Falafel Food for the Soul,Γ. Δροσίνη 12
1 ζευγάρι παπούτσια περιπάτου ,Τζάρτος Shoes,Μαυρομιχάλη 9
Ρολόι τοίχου ,Vicko,Βας. Όλγας 175
Βιβλίο ,Βιβλιοπωλείο Κάτι Γίνεται ,Γ. Παπανδρέου 27
"Επιτραπέζιο παιχνίδι ""Νήματα""",E Fantasy ,Ερμού 55
Άρωμα 50ml,Αρωμαγεία αρωματοπωλείο ,Β. Όλγας 140
Δωροεπιταγή 10€,Βιβλιοκίνηση ,Δελφών 159
Φιγούρα παιχνιδιού + χάρακας,OtacuStore,25ης Μαρτίου 51
1 κούπα,Annas home,Βασ. Όλγας 115
Σουτιέν Sloggi (αλλάζει μόνο το μέγεθος),Dessous Εσώρουχα,25ης Μαρτίου 52
Blootooth ηχειάκι ,Σχολική ανάμνηση ,(Έδρα: Λάρισα)
Ποικιλία ξηρών καρπών ,Μπούρα ξηροί καρποί & ζαχαρώδη,Βασ. Όλγας 187
1 κόσμημα,Πολύδωρος Εργαστήριο Χρυσοχοϊας,Παπακυριαζή 9
1 κιλό παγωτό χύμα ,Fregio,Π. Συνδίκα 53
1 αποτρίχωση χεριών ,Psimithea Mua,Νανά Γιαννοπούλου 
"2τμχ μπογιές για face painting, αυτοκόλλητα προσώπου, ψεύτικα δοντάκια και 1 πακέτο σερπαντίνες ","Βιβλιοπωλείο ""Στη χώρα του ποτέ""",Μακεδονίας 96
Λούτρινο παιχνίδι ,Bat Coffee Store,Σόλωνος 47
1 παιδικό κούρεμα,Cheveux ,Π. Συνδίκα 50
1 παζλ ,Koala Toys,Μπότσαρη 11
50% δίδακτρα έκπτωση μέχρι τέλος σεζόν ,The School Project ,Αλεξανδρείας 63 (Ρικάρντο Χέιρ)
1 πίτσα δώρο,Mama Mia Pizza,Δελφών 49
1 μήνας δωρεάν μαθήματα ζωγραφικής για τα παιδιά δημοτικού της οικογένειας,Χρωστήρας,Π. Συνδίκα 24
Υποτροφία αγγλικων 30% ,Χιτογλου ,Θερμοπυλών 29
Φλις αγορίστικη κουβέρτα ,Seven World,25ης Μαρτίου 16
Lunchbox και μπρελόκ ,Seven World,25ης Μαρτίου 16
Ημερολόγιο 2026,Seven World,25ης Μαρτίου 16
Δωροεπιταγή 5€,Mammy's Creperie  ,25ης Μαρτίου 25
πανέμορφο βάζο ,pakketo. gr,Καλοχώρι 
Ημιμόνιμο μανικιούρ ,Cutic Nails & More,Δελφών 189
